function_name,file,line_number,return_type,category,subcategory,fuzzing_priority,complexity,is_public_api,is_static,description,full_signature, fuzzed
sqlite3VdbeMemSetZeroBlob,vdbemem.c,897,void,VDBE,Memory Operations,Critical,High,True,False,Memory Operations function in VDBE subsystem,"void sqlite3VdbeMemSetZeroBlob(Mem *pMem, int n){", True
sqlite3VdbeMemSetZeroBlob,vdbemem.c,907,int,VDBE,Memory Operations,Critical,High,True,False,Memory Operations function in VDBE subsystem,"int sqlite3VdbeMemSetZeroBlob(Mem *pMem, int n){", True
sqlite3VdbeMemSetZeroBlob,vdbeapi.c,665,return,VDBE,API Interface,Critical,High,True,False,API Interface function in VDBE subsystem,"return sqlite3VdbeMemSetZeroBlob(pCtx->pOut, (int)n);", False
sqlite3VdbeMemShallowCopy,vdbemem.c,1089,void,VDBE,Memory Operations,Critical,High,True,False,Memory Operations function in VDBE subsystem,"void sqlite3VdbeMemShallowCopy(Mem *pTo, const Mem *pFrom, int srcType){", True
sqlite3VdbeMemStringify,vdbemem.c,458,int,VDBE,Memory Operations,Critical,High,True,False,Memory Operations function in VDBE subsystem,"int sqlite3VdbeMemStringify(Mem *pMem, u8 enc, u8 bForce){", True
sqlite3VdbeMemTooBig,vdbemem.c,1025,int,VDBE,Memory Operations,Critical,Medium,True,False,Memory Operations function in VDBE subsystem,int sqlite3VdbeMemTooBig(Mem *p){, False
sqlite3VdbeMemValidStrRep,vdbemem.c,154,int,VDBE,Memory Operations,Critical,High,True,False,Memory Operations function in VDBE subsystem,int sqlite3VdbeMemValidStrRep(Mem *p){, True
sqlite3VdbeMemZeroTerminateIfAble,vdbemem.c,324,void,VDBE,Memory Operations,Critical,High,True,False,Memory Operations function in VDBE subsystem,void sqlite3VdbeMemZeroTerminateIfAble(Mem *pMem){, False
sqlite3VdbeMultiLoad,vdbeaux.c,391,void,VDBE,Auxiliary Functions,Critical,Medium,True,False,Auxiliary Functions function in VDBE subsystem,"void sqlite3VdbeMultiLoad(Vdbe *p, int iDest, const char *zTypes, ...){", False
sqlite3VdbeNextOpcode,vdbeaux.c,2258,int,VDBE,Auxiliary Functions,Critical,High,True,False,Auxiliary Functions function in VDBE subsystem,int sqlite3VdbeNextOpcode(, False
sqlite3VdbeNoJumpsOutsideSubrtn,vdbeaux.c,995,void,VDBE,Auxiliary Functions,Critical,High,True,False,Auxiliary Functions function in VDBE subsystem,void sqlite3VdbeNoJumpsOutsideSubrtn(, False
sqlite3VdbeNoopComment,vdbeaux.c,1662,void,VDBE,Auxiliary Functions,Critical,High,True,False,Auxiliary Functions function in VDBE subsystem,"void sqlite3VdbeNoopComment(Vdbe *p, const char *zFormat, ...){", False
sqlite3VdbeOneByteSerialTypeLen,vdbeaux.c,3993,u8,VDBE,Auxiliary Functions,Critical,High,True,False,Auxiliary Functions function in VDBE subsystem,u8 sqlite3VdbeOneByteSerialTypeLen(u8 serial_type){, False
sqlite3VdbeParameterIndex,vdbeapi.c,1923,int,VDBE,API Interface,Critical,High,True,False,API Interface function in VDBE subsystem,"int sqlite3VdbeParameterIndex(Vdbe *p, const char *zName, int nName){", False
sqlite3VdbeParameterIndex,vdbeapi.c,1928,return,VDBE,API Interface,Critical,High,True,False,API Interface function in VDBE subsystem,"return sqlite3VdbeParameterIndex((Vdbe*)pStmt, zName, sqlite3Strlen30(zName));", False
sqlite3VdbePreUpdateHook,vdbeaux.c,5493,void,VDBE,Auxiliary Functions,Critical,High,True,False,Auxiliary Functions function in VDBE subsystem,void sqlite3VdbePreUpdateHook(, False
sqlite3VdbePrepareFlags,vdbeaux.c,5350,u8,VDBE,Statement Preparation,Critical,High,True,False,Statement Preparation function in VDBE subsystem,u8 sqlite3VdbePrepareFlags(Vdbe *v){, False
sqlite3VdbePrintOp,vdbeaux.c,2107,void,VDBE,Auxiliary Functions,Critical,Medium,True,False,Auxiliary Functions function in VDBE subsystem,"void sqlite3VdbePrintOp(FILE *pOut, int pc, VdbeOp *pOp){", False
sqlite3VdbePrintSql,vdbeaux.c,2497,void,VDBE,Auxiliary Functions,Critical,Medium,True,False,Auxiliary Functions function in VDBE subsystem,void sqlite3VdbePrintSql(Vdbe *p){, False
sqlite3VdbeRealValue,vdbemem.c,658,double,VDBE,Memory Operations,Critical,Medium,True,False,Memory Operations function in VDBE subsystem,double sqlite3VdbeRealValue(Mem *pMem){, False
sqlite3VdbeRealValue,vdbemem.c,683,return,VDBE,Memory Operations,Critical,Medium,True,False,Memory Operations function in VDBE subsystem,return sqlite3VdbeRealValue(pMem)!=0.0;, False
sqlite3VdbeRealValue,vdbeapi.c,202,return,VDBE,API Interface,Critical,Medium,True,False,API Interface function in VDBE subsystem,return sqlite3VdbeRealValue((Mem*)pVal);, False
sqlite3VdbeRecordCompare,vdbeaux.c,4950,int,VDBE,Auxiliary Functions,Critical,High,True,False,Auxiliary Functions function in VDBE subsystem,int sqlite3VdbeRecordCompare(, False
sqlite3VdbeRecordCompare,vdbeaux.c,5029,return,VDBE,Auxiliary Functions,Critical,High,True,False,Auxiliary Functions function in VDBE subsystem,"return sqlite3VdbeRecordCompare(nKey1, pKey1, pPKey2);", False
sqlite3VdbeRecordCompare,vdbeaux.c,5032,return,VDBE,Auxiliary Functions,Critical,High,True,False,Auxiliary Functions function in VDBE subsystem,"return sqlite3VdbeRecordCompare(nKey1, pKey1, pPKey2);", False
sqlite3VdbeRecordCompareWithSkip,vdbeaux.c,4729,int,VDBE,Auxiliary Functions,Critical,High,True,False,Auxiliary Functions function in VDBE subsystem,int sqlite3VdbeRecordCompareWithSkip(, False
sqlite3VdbeRecordCompareWithSkip,vdbeaux.c,4954,return,VDBE,Auxiliary Functions,Critical,High,True,False,Auxiliary Functions function in VDBE subsystem,"return sqlite3VdbeRecordCompareWithSkip(nKey1, pKey1, pPKey2, 0);", False
sqlite3VdbeRecordUnpack,vdbeaux.c,4238,void,VDBE,Auxiliary Functions,Critical,High,True,False,Auxiliary Functions function in VDBE subsystem,void sqlite3VdbeRecordUnpack(, False
sqlite3VdbeRegisterDump,vdbe.c,628,void,VDBE,Virtual Machine,Critical,High,True,False,Virtual Machine function in VDBE subsystem,void sqlite3VdbeRegisterDump(Vdbe *v){, False
sqlite3VdbeReleaseRegisters,vdbeaux.c,1501,void,VDBE,Auxiliary Functions,Critical,High,True,False,Auxiliary Functions function in VDBE subsystem,void sqlite3VdbeReleaseRegisters(, False
sqlite3VdbeReset,vdbeaux.c,3582,int,VDBE,Auxiliary Functions,Critical,Medium,True,False,Auxiliary Functions function in VDBE subsystem,int sqlite3VdbeReset(Vdbe *p){, False
sqlite3VdbeResetStepResult,vdbeaux.c,3520,void,VDBE,Statement Execution,Critical,High,True,False,Statement Execution function in VDBE subsystem,void sqlite3VdbeResetStepResult(Vdbe *p){, False
sqlite3VdbeResolveLabel,vdbeaux.c,637,void,VDBE,Auxiliary Functions,Critical,High,True,False,Auxiliary Functions function in VDBE subsystem,"void sqlite3VdbeResolveLabel(Vdbe *v, int x){", False
sqlite3VdbeReusable,vdbeaux.c,666,void,VDBE,Auxiliary Functions,Critical,Medium,True,False,Auxiliary Functions function in VDBE subsystem,void sqlite3VdbeReusable(Vdbe *p){, False
sqlite3VdbeRewind,vdbeaux.c,2589,void,VDBE,Auxiliary Functions,Critical,Medium,True,False,Auxiliary Functions function in VDBE subsystem,void sqlite3VdbeRewind(Vdbe *p){, False
sqlite3VdbeRunOnlyOnce,vdbeaux.c,659,void,VDBE,Auxiliary Functions,Critical,High,True,False,Auxiliary Functions function in VDBE subsystem,void sqlite3VdbeRunOnlyOnce(Vdbe *p){, False
sqlite3VdbeScanStatus,vdbeaux.c,1190,void,VDBE,Auxiliary Functions,Critical,High,True,False,Auxiliary Functions function in VDBE subsystem,void sqlite3VdbeScanStatus(, False
sqlite3VdbeScanStatusCounters,vdbeaux.c,1254,void,VDBE,Auxiliary Functions,Critical,High,True,False,Auxiliary Functions function in VDBE subsystem,void sqlite3VdbeScanStatusCounters(, False
sqlite3VdbeScanStatusRange,vdbeaux.c,1222,void,VDBE,Auxiliary Functions,Critical,High,True,False,Auxiliary Functions function in VDBE subsystem,void sqlite3VdbeScanStatusRange(, False
sqlite3VdbeSerialGet,vdbeaux.c,4119,void,VDBE,Auxiliary Functions,Critical,Medium,True,False,Auxiliary Functions function in VDBE subsystem,void sqlite3VdbeSerialGet(, False
sqlite3VdbeSerialType,vdbeaux.c,3900,u32,VDBE,Auxiliary Functions,Critical,High,True,False,Auxiliary Functions function in VDBE subsystem,"u32 sqlite3VdbeSerialType(Mem *pMem, int file_format, u32 *pLen){", False
sqlite3VdbeSerialTypeLen,vdbeaux.c,3984,u32,VDBE,Auxiliary Functions,Critical,High,True,False,Auxiliary Functions function in VDBE subsystem,u32 sqlite3VdbeSerialTypeLen(u32 serial_type){, False
sqlite3VdbeSetChanges,vdbeaux.c,5301,void,VDBE,Auxiliary Functions,Critical,High,True,False,Auxiliary Functions function in VDBE subsystem,"void sqlite3VdbeSetChanges(sqlite3 *db, i64 nChange){", False
sqlite3VdbeSetColName,vdbeaux.c,2887,int,VDBE,Auxiliary Functions,Critical,High,True,False,Auxiliary Functions function in VDBE subsystem,int sqlite3VdbeSetColName(, False
sqlite3VdbeSetLineNumber,vdbeaux.c,1677,void,VDBE,Auxiliary Functions,Critical,High,True,False,Auxiliary Functions function in VDBE subsystem,"void sqlite3VdbeSetLineNumber(Vdbe *v, int iLine){", False
sqlite3VdbeSetNumCols,vdbeaux.c,2862,void,VDBE,Auxiliary Functions,Critical,High,True,False,Auxiliary Functions function in VDBE subsystem,"void sqlite3VdbeSetNumCols(Vdbe *p, int nResColumn){", True
sqlite3VdbeSetP4KeyInfo,vdbeaux.c,1629,void,VDBE,Auxiliary Functions,Critical,High,True,False,Auxiliary Functions function in VDBE subsystem,"void sqlite3VdbeSetP4KeyInfo(Parse *pParse, Index *pIdx){", False
sqlite3VdbeSetSql,vdbeaux.c,70,void,VDBE,Auxiliary Functions,Critical,Medium,True,False,Auxiliary Functions function in VDBE subsystem,"void sqlite3VdbeSetSql(Vdbe *p, const char *z, int n, u8 prepFlags){", False
sqlite3VdbeSetVarmask,vdbeaux.c,5385,void,VDBE,Auxiliary Functions,Critical,High,True,False,Auxiliary Functions function in VDBE subsystem,"void sqlite3VdbeSetVarmask(Vdbe *v, int iVar){", False
sqlite3VdbeSwap,vdbeaux.c,127,void,VDBE,Auxiliary Functions,Critical,Low,True,False,Auxiliary Functions function in VDBE subsystem,"void sqlite3VdbeSwap(Vdbe *pA, Vdbe *pB){", False
sqlite3VdbeTransferError,vdbeaux.c,3532,int,VDBE,Auxiliary Functions,Critical,High,True,False,Auxiliary Functions function in VDBE subsystem,int sqlite3VdbeTransferError(Vdbe *p){, False
sqlite3VdbeTypeofColumn,vdbeaux.c,1307,void,VDBE,Result Retrieval,Critical,High,True,False,Result Retrieval function in VDBE subsystem,"void sqlite3VdbeTypeofColumn(Vdbe *p, int iDest){", False
sqlite3VdbeUsesBtree,vdbeaux.c,2031,void,VDBE,Auxiliary Functions,Critical,Medium,True,False,Auxiliary Functions function in VDBE subsystem,"void sqlite3VdbeUsesBtree(Vdbe *p, int i){", False
sqlite3VdbeUsesDoubleQuotedString,vdbeaux.c,103,int,VDBE,Auxiliary Functions,Critical,High,True,False,Auxiliary Functions function in VDBE subsystem,int sqlite3VdbeUsesDoubleQuotedString(, False
sqlite3VdbeValueListFree,vdbeapi.c,1006,void,VDBE,API Interface,Critical,High,True,False,API Interface function in VDBE subsystem,void sqlite3VdbeValueListFree(void *pToDelete){, False
sqlite3VdbeVerifyAbortable,vdbeaux.c,1106,void,VDBE,Auxiliary Functions,Critical,High,True,False,Auxiliary Functions function in VDBE subsystem,"void sqlite3VdbeVerifyAbortable(Vdbe *p, int onError){", False
sqlite3VdbeVerifyNoMallocRequired,vdbeaux.c,1079,void,VDBE,Auxiliary Functions,Critical,High,True,False,Auxiliary Functions function in VDBE subsystem,"void sqlite3VdbeVerifyNoMallocRequired(Vdbe *p, int N){", False
sqlite3VdbeVerifyNoResultRow,vdbeaux.c,1092,void,VDBE,Auxiliary Functions,Critical,High,True,False,Auxiliary Functions function in VDBE subsystem,void sqlite3VdbeVerifyNoResultRow(Vdbe *p){, False
sqlite3_step,vdbeapi.c,895,int,VDBE,Statement Execution,Critical,Low,True,False,Statement Execution function in VDBE subsystem,int sqlite3_step(sqlite3_stmt *pStmt){, False
sqlite3_value_free,vdbeapi.c,371,void,VDBE,API Interface,Critical,Medium,True,False,API Interface function in VDBE subsystem,void sqlite3_value_free(sqlite3_value *pOld){, True
vdbeAssertFieldCountWithinLimits,vdbeaux.c,4416,void,VDBE,Auxiliary Functions,Critical,High,False,True,Auxiliary Functions function in VDBE subsystem,static void vdbeAssertFieldCountWithinLimits(, True
vdbeCloseStatement,vdbeaux.c,3263,return,VDBE,Auxiliary Functions,Critical,Medium,False,False,Auxiliary Functions function in VDBE subsystem,"return vdbeCloseStatement(p, eOp);", False
vdbeCommit,vdbeaux.c,2915,int,VDBE,Auxiliary Functions,Critical,Low,False,True,Auxiliary Functions function in VDBE subsystem,"static int vdbeCommit(sqlite3 *db, Vdbe *p){", False
vdbeCompareMemString,vdbeaux.c,4472,int,VDBE,Auxiliary Functions,Critical,Medium,False,True,Auxiliary Functions function in VDBE subsystem,static int vdbeCompareMemString(, False
vdbeCompareMemString,vdbeaux.c,4656,return,VDBE,Auxiliary Functions,Critical,Medium,False,False,Auxiliary Functions function in VDBE subsystem,"return vdbeCompareMemString(pMem1, pMem2, pColl, 0);", False
vdbeCompareMemStringWithEncodingChange,vdbeaux.c,4483,return,VDBE,Auxiliary Functions,Critical,High,False,False,Auxiliary Functions function in VDBE subsystem,"return vdbeCompareMemStringWithEncodingChange(pMem1,pMem2,pColl,prcErr);", False
vdbeFkError,vdbeaux.c,3289,return,VDBE,Auxiliary Functions,Critical,Low,False,False,Auxiliary Functions function in VDBE subsystem,return vdbeFkError(p);, False
vdbeFkError,vdbeaux.c,3294,return,VDBE,Auxiliary Functions,Critical,Low,False,False,Auxiliary Functions function in VDBE subsystem,return vdbeFkError(p);, False
vdbeFreeOpArray,vdbeaux.c,20,void,VDBE,Auxiliary Functions,Critical,Low,False,True,Auxiliary Functions function in VDBE subsystem,"static void vdbeFreeOpArray(sqlite3 *, Op *, int);", False
vdbeFreeOpArray,vdbeaux.c,1435,void,VDBE,Auxiliary Functions,Critical,Low,False,True,Auxiliary Functions function in VDBE subsystem,"static void vdbeFreeOpArray(sqlite3 *db, Op *aOp, int nOp){", False
vdbeFreeUnpacked,vdbeaux.c,5473,void,VDBE,Auxiliary Functions,Critical,Medium,False,True,Auxiliary Functions function in VDBE subsystem,"static void vdbeFreeUnpacked(sqlite3 *db, int nField, UnpackedRecord *p){", False
vdbeInvokeSqllog,vdbeaux.c,3555,void,VDBE,Auxiliary Functions,Critical,Medium,False,True,Auxiliary Functions function in VDBE subsystem,static void vdbeInvokeSqllog(Vdbe *v){, False
vdbeMemAddTerminator,vdbemem.c,440,return,VDBE,Memory Operations,Critical,Medium,False,False,Memory Operations function in VDBE subsystem,return vdbeMemAddTerminator(pMem);, False
vdbeMemRenderNum,vdbemem.c,106,void,VDBE,Memory Operations,Critical,Medium,False,True,Memory Operations function in VDBE subsystem,"static void vdbeMemRenderNum(int sz, char *zBuf, Mem *p){", False
vdbeRecordCompareDebug,vdbeaux.c,4295,int,VDBE,Auxiliary Functions,Critical,High,False,True,Auxiliary Functions function in VDBE subsystem,static int vdbeRecordCompareDebug(, True
vdbeRecordCompareInt,vdbeaux.c,4967,int,VDBE,Auxiliary Functions,Critical,Medium,False,True,Auxiliary Functions function in VDBE subsystem,static int vdbeRecordCompareInt(, True
vdbeRecordCompareString,vdbeaux.c,5062,int,VDBE,Auxiliary Functions,Critical,High,False,True,Auxiliary Functions function in VDBE subsystem,static int vdbeRecordCompareString(, True
vdbeRecordDecodeInt,vdbeaux.c,4674,i64,VDBE,Auxiliary Functions,Critical,Medium,False,True,Auxiliary Functions function in VDBE subsystem,"static i64 vdbeRecordDecodeInt(u32 serial_type, const u8 *aKey){", True
vdbeSafety,vdbeapi.c,40,int,VDBE,API Interface,Critical,Low,False,True,API Interface function in VDBE subsystem,static int vdbeSafety(Vdbe *p){, False
vdbeSafety,vdbeapi.c,53,return,VDBE,API Interface,Critical,Low,False,False,API Interface function in VDBE subsystem,return vdbeSafety(p);, False
vdbeSafetyNotNull,vdbeapi.c,48,int,VDBE,API Interface,Critical,Medium,False,True,API Interface function in VDBE subsystem,static int vdbeSafetyNotNull(Vdbe *p){, False
vdbeTakeBranch,vdbe.c,194,void,VDBE,Virtual Machine,Critical,Low,False,True,Virtual Machine function in VDBE subsystem,"static void vdbeTakeBranch(u32 iSrcLine, u8 I, u8 M){", False
vdbeUnbind,vdbeapi.c,1636,int,VDBE,API Interface,Critical,Low,False,True,API Interface function in VDBE subsystem,"static int vdbeUnbind(Vdbe *p, unsigned int i){", False
vdbeVComment,vdbeaux.c,1645,void,VDBE,Auxiliary Functions,Critical,Low,False,True,Auxiliary Functions function in VDBE subsystem,"static void vdbeVComment(Vdbe *p, const char *zFormat, va_list ap){", False
assertParentIndex,btree.c,5455,void,B-Tree,Index Management,High,Medium,False,True,Index Management function in B-Tree subsystem,"static void assertParentIndex(MemPage *pParent, int iIdx, Pgno iChild){", False
incrVacuumStep,btree.c,4010,int,B-Tree,Index Management,High,Low,False,True,Index Management function in B-Tree subsystem,"static int incrVacuumStep(BtShared *pBt, Pgno nFin, Pgno iLastPg, int bCommit){", False
indexCellCompare,btree.c,5928,int,B-Tree,Index Management,High,Medium,False,True,Index Management function in B-Tree subsystem,static int indexCellCompare(, False
insertCell,btree.c,7292,int,B-Tree,Index Management,High,Low,False,True,Index Management function in B-Tree subsystem,static int insertCell(, False
insertCellFast,btree.c,7389,int,B-Tree,Index Management,High,Low,False,True,Index Management function in B-Tree subsystem,static int insertCellFast(, False
getAutoVacuum,pragma.c,125,int,Configuration,PRAGMA Commands,High,Low,False,True,PRAGMA Commands function in Configuration subsystem,static int getAutoVacuum(const char *z){, False
pragmaFunclistLine,pragma.c,332,void,Configuration,PRAGMA Commands,High,Medium,False,True,PRAGMA Commands function in Configuration subsystem,static void pragmaFunclistLine(, False
pragmaVtabBestIndex,pragma.c,2878,int,Configuration,PRAGMA Commands,High,Medium,False,True,PRAGMA Commands function in Configuration subsystem,"static int pragmaVtabBestIndex(sqlite3_vtab *tab, sqlite3_index_info *pIdxInfo){", False
pragmaVtabClose,pragma.c,2939,int,Configuration,PRAGMA Commands,High,Low,False,True,PRAGMA Commands function in Configuration subsystem,static int pragmaVtabClose(sqlite3_vtab_cursor *cur){, False
pragmaVtabColumn,pragma.c,3023,int,Configuration,PRAGMA Commands,High,Medium,False,True,PRAGMA Commands function in Configuration subsystem,static int pragmaVtabColumn(, False
pragmaVtabConnect,pragma.c,2803,int,Configuration,PRAGMA Commands,High,Medium,False,True,PRAGMA Commands function in Configuration subsystem,static int pragmaVtabConnect(, False
pragmaVtabCursorClear,pragma.c,2927,void,Configuration,PRAGMA Commands,High,High,False,True,PRAGMA Commands function in Configuration subsystem,static void pragmaVtabCursorClear(PragmaVtabCursor *pCsr){, False
pragmaVtabDisconnect,pragma.c,2865,int,Configuration,PRAGMA Commands,High,Medium,False,True,PRAGMA Commands function in Configuration subsystem,static int pragmaVtabDisconnect(sqlite3_vtab *pVtab){, False
pragmaVtabEof,pragma.c,3015,int,Configuration,PRAGMA Commands,High,Low,False,True,PRAGMA Commands function in Configuration subsystem,static int pragmaVtabEof(sqlite3_vtab_cursor *pVtabCursor){, False
pragmaVtabFilter,pragma.c,2965,int,Configuration,PRAGMA Commands,High,Medium,False,True,PRAGMA Commands function in Configuration subsystem,static int pragmaVtabFilter(, False
pragmaVtabNext,pragma.c,2947,int,Configuration,PRAGMA Commands,High,Low,False,True,PRAGMA Commands function in Configuration subsystem,static int pragmaVtabNext(sqlite3_vtab_cursor *pVtabCursor){, False
pragmaVtabNext,pragma.c,3009,return,Configuration,PRAGMA Commands,High,Low,False,False,PRAGMA Commands function in Configuration subsystem,return pragmaVtabNext(pVtabCursor);, False
pragmaVtabOpen,pragma.c,2916,int,Configuration,PRAGMA Commands,High,Low,False,True,PRAGMA Commands function in Configuration subsystem,"static int pragmaVtabOpen(sqlite3_vtab *pVtab, sqlite3_vtab_cursor **ppCursor){", False
pragmaVtabRowid,pragma.c,3041,int,Configuration,PRAGMA Commands,High,Low,False,True,PRAGMA Commands function in Configuration subsystem,"static int pragmaVtabRowid(sqlite3_vtab_cursor *pVtabCursor, sqlite_int64 *p){", False
setPragmaResultColumnNames,pragma.c,198,void,Configuration,PRAGMA Commands,High,High,False,True,PRAGMA Commands function in Configuration subsystem,static void setPragmaResultColumnNames(, False
sqlite3Pragma,pragma.c,425,void,Configuration,PRAGMA Commands,High,Low,True,False,PRAGMA Commands function in Configuration subsystem,void sqlite3Pragma(, False
jsonCacheDelete,json.c,416,void,Extension,JSON Functions,High,Low,False,True,JSON Functions function in Extension subsystem,static void jsonCacheDelete(JsonCache *p){, False
jsonCacheDeleteGeneric,json.c,423,void,Extension,JSON Functions,High,High,False,True,JSON Functions function in Extension subsystem,static void jsonCacheDeleteGeneric(void *p){, False
jsonCacheInsert,json.c,434,int,Extension,JSON Functions,High,Low,False,True,JSON Functions function in Extension subsystem,static int jsonCacheInsert(, False
jsonEachBestIndex,json.c,5322,int,Extension,JSON Functions,High,Medium,False,True,JSON Functions function in Extension subsystem,static int jsonEachBestIndex(, False
jsonInsertIntoBlob,json.c,3456,void,Extension,JSON Functions,High,Medium,False,True,JSON Functions function in Extension subsystem,static void jsonInsertIntoBlob(, False
codeReturningTrigger,trigger.c,1031,void,Feature,Trigger Processing,High,Medium,False,True,Trigger Processing function in Feature subsystem,static void codeReturningTrigger(, False
codeTriggerProgram,trigger.c,1122,int,Feature,Trigger Processing,High,Medium,False,True,Trigger Processing function in Feature subsystem,static int codeTriggerProgram(, False
sqlite3BeginTrigger,trigger.c,104,void,Feature,Trigger Processing,High,Medium,True,False,Trigger Processing function in Feature subsystem,void sqlite3BeginTrigger(, False
sqlite3CodeRowTrigger,trigger.c,1465,void,Feature,Trigger Processing,High,High,True,False,Trigger Processing function in Feature subsystem,void sqlite3CodeRowTrigger(, False
sqlite3CodeRowTriggerDirect,trigger.c,1393,void,Feature,Trigger Processing,High,High,True,False,Trigger Processing function in Feature subsystem,void sqlite3CodeRowTriggerDirect(, False
sqlite3DeleteTrigger,trigger.c,606,void,Feature,Trigger Processing,High,Medium,True,False,Trigger Processing function in Feature subsystem,"void sqlite3DeleteTrigger(sqlite3 *db, Trigger *pTrigger){", False
sqlite3DeleteTriggerStep,trigger.c,19,void,Feature,Statement Execution,High,High,True,False,Statement Execution function in Feature subsystem,"void sqlite3DeleteTriggerStep(sqlite3 *db, TriggerStep *pTriggerStep){", False
sqlite3DropTrigger,trigger.c,624,void,Feature,Trigger Processing,High,Medium,True,False,Trigger Processing function in Feature subsystem,"void sqlite3DropTrigger(Parse *pParse, SrcList *pName, int noErr){", False
sqlite3DropTriggerPtr,trigger.c,675,void,Feature,Trigger Processing,High,High,True,False,Trigger Processing function in Feature subsystem,"void sqlite3DropTriggerPtr(Parse *pParse, Trigger *pTrigger){", False
sqlite3FinishTrigger,trigger.c,318,void,Feature,Trigger Processing,High,Medium,True,False,Trigger Processing function in Feature subsystem,void sqlite3FinishTrigger(, False
sqlite3ReturningSubqueryVarSelect,trigger.c,964,int,Feature,Trigger Processing,High,High,True,True,Trigger Processing function in Feature subsystem,"static int sqlite3ReturningSubqueryVarSelect(Walker *NotUsed, Expr *pExpr){", False
sqlite3TriggerColmask,trigger.c,1535,u32,Feature,Trigger Processing,High,High,True,False,Trigger Processing function in Feature subsystem,u32 sqlite3TriggerColmask(, False
sqlite3UnlinkAndDeleteTrigger,trigger.c,713,void,Feature,Trigger Processing,High,High,True,False,Trigger Processing function in Feature subsystem,"void sqlite3UnlinkAndDeleteTrigger(sqlite3 *db, int iDb, const char *zName){", False
tempTriggersExist,trigger.c,759,int,Feature,Trigger Processing,High,Medium,False,True,Trigger Processing function in Feature subsystem,static int tempTriggersExist(sqlite3 *db){, False
triggersReallyExist,trigger.c,848,return,Feature,Trigger Processing,High,Medium,False,False,Trigger Processing function in Feature subsystem,"return triggersReallyExist(pParse,pTab,op,pChanges,pMask);", False
sqlite3Vacuum,vacuum.c,105,void,Maintenance,Database Maintenance,High,Low,True,False,Database Maintenance function in Maintenance subsystem,"void sqlite3Vacuum(Parse *pParse, Token *pNm, Expr *pInto){", False
sqlite3OsClose,os.c,82,void,OS,Database Connection,High,Low,True,False,Database Connection function in OS subsystem,void sqlite3OsClose(sqlite3_file *pId){, False
sqlite3OsDelete,os.c,233,int,OS,Operating System Interface,High,Low,True,False,Operating System Interface function in OS subsystem,"int sqlite3OsDelete(sqlite3_vfs *pVfs, const char *zPath, int dirSync){", False
sqlite3OsDlClose,os.c,269,void,OS,Database Connection,High,Medium,True,False,Database Connection function in OS subsystem,"void sqlite3OsDlClose(sqlite3_vfs *pVfs, void *pHandle){", False
sqlite3OsOpen,os.c,215,int,OS,Database Connection,High,Low,True,False,Database Connection function in OS subsystem,int sqlite3OsOpen(, False
analyzeDatabase,analyze.c,1394,void,Optimization,Statistics Analysis,High,Low,False,True,Statistics Analysis function in Optimization subsystem,"static void analyzeDatabase(Parse *pParse, int iDb){", False
analyzeOneTable,analyze.c,977,void,Optimization,Statistics Analysis,High,Low,False,True,Statistics Analysis function in Optimization subsystem,static void analyzeOneTable(, False
analyzeTable,analyze.c,1426,void,Optimization,Statistics Analysis,High,Low,False,True,Statistics Analysis function in Optimization subsystem,"static void analyzeTable(Parse *pParse, Table *pTab, Index *pOnlyIdx){", False
sampleInsert,analyze.c,558,void,Optimization,Statistics Analysis,High,Low,False,True,Statistics Analysis function in Optimization subsystem,"static void sampleInsert(StatAccum *p, StatSample *pNew, int nEqZero){", False
sqlite3Analyze,analyze.c,1457,void,Optimization,Statistics Analysis,High,Low,True,False,Statistics Analysis function in Optimization subsystem,"void sqlite3Analyze(Parse *pParse, Token *pName1, Token *pName2){", False
sqlite3DeleteIndexSamples,analyze.c,1656,void,Optimization,Statistics Analysis,High,High,True,False,Statistics Analysis function in Optimization subsystem,"void sqlite3DeleteIndexSamples(sqlite3 *db, Index *pIdx){", False
DbPreUpdateHandler,tclsqlite.c,905,void,Other,Unknown,High,Medium,False,True,Unknown function in Other subsystem,static void DbPreUpdateHandler(, False
DbUpdateHandler,tclsqlite.c,937,void,Other,Unknown,High,Low,False,True,Unknown function in Other subsystem,static void DbUpdateHandler(, False
MD5Update,test_md5.c,188,void,Other,Unknown,High,Low,False,False,Unknown function in Other subsystem,"void MD5Update(MD5Context *ctx, const unsigned char *buf, unsigned int len){", False
analyzeFilterKeyword,tokenize.c,261,int,Other,Unknown,High,Medium,False,True,Unknown function in Other subsystem,"static int analyzeFilterKeyword(const unsigned char *z, int lastToken){", False
analyzeOverKeyword,tokenize.c,254,int,Other,Unknown,High,Medium,False,True,Unknown function in Other subsystem,"static int analyzeOverKeyword(const unsigned char *z, int lastToken){", False
analyzeWindowKeyword,tokenize.c,246,int,Other,Unknown,High,Medium,False,True,Unknown function in Other subsystem,static int analyzeWindowKeyword(const unsigned char *z){, False
auth_callback,tclsqlite.c,1161,int,Other,Unknown,High,Low,False,True,Unknown function in Other subsystem,static int auth_callback(, False
bytecodevtabBestIndex,vdbevtab.c,376,int,Other,Unknown,High,High,False,True,Unknown function in Other subsystem,static int bytecodevtabBestIndex(, False
carrayBestIndex,carray.c,315,int,Other,Unknown,High,Low,False,True,Unknown function in Other subsystem,static int carrayBestIndex(, False
